"Month","All items","Food","Energy","All items less food and energy"
"Jan 2015","-0.1","3.2","-19.6","1.6"
"Feb 2015","0.0","3.0","-18.8","1.7"
"Mar 2015","-0.1","2.3","-18.3","1.8"
"Apr 2015","-0.2","2.0","-19.4","1.8"
"May 2015","0.0","1.6","-16.3","1.7"
"Jun 2015","0.1","1.8","-15.0","1.8"
"Jul 2015","0.2","1.6","-14.8","1.8"
"Aug 2015","0.2","1.6","-15.0","1.8"
"Sep 2015","0.0","1.6","-18.4","1.9"
"Oct 2015","0.2","1.6","-17.1","1.9"
"Nov 2015","0.5","1.3","-14.7","2.0"
"Dec 2015","0.7","0.8","-12.6","2.1"
"Jan 2016","1.4","0.8","-6.5","2.2"
"Feb 2016","1.0","0.9","-12.5","2.3"
"Mar 2016","0.9","0.8","-12.6","2.2"
"Apr 2016","1.1","0.9","-8.9","2.1"
"May 2016","1.0","0.7","-10.1","2.2"
"Jun 2016","1.0","0.3","-9.4","2.2"
"Jul 2016","0.8","0.2","-10.9","2.2"
"Aug 2016","1.1","0.0","-9.2","2.3"
"Sep 2016","1.5","-0.3","-2.9","2.2"
"Oct 2016","1.6","-0.4","0.1","2.1"
"Nov 2016","1.7","-0.4","1.1","2.1"
"Dec 2016","2.1","-0.2","5.4","2.2"
"Jan 2017","2.5","-0.2","10.8","2.3"
"Feb 2017","2.7","0.0","15.2","2.2"
"Mar 2017","2.4","0.5","10.9","2.0"
"Apr 2017","2.2","0.5","9.3","1.9"
"May 2017","1.9","0.9","5.4","1.7"
"Jun 2017","1.6","0.9","2.3","1.7"
"Jul 2017","1.7","1.1","3.4","1.7"
"Aug 2017","1.9","1.1","6.4","1.7"
"Sep 2017","2.2","1.2","10.1","1.7"
"Oct 2017","2.0","1.3","6.4","1.8"
"Nov 2017","2.2","1.4","9.4","1.7"
"Dec 2017","2.1","1.6","6.9","1.8"
"Jan 2018","2.1","1.7","5.5","1.8"
"Feb 2018","2.2","1.4","7.7","1.8"
"Mar 2018","2.4","1.3","7.0","2.1"
"Apr 2018","2.5","1.4","7.9","2.1"
"May 2018","2.8","1.2","11.7","2.2"
"Jun 2018","2.9","1.4","12.0","2.3"
"Jul 2018","2.9","1.4","12.1","2.4"
"Aug 2018","2.7","1.4","10.2","2.2"
"Sep 2018","2.3","1.4","4.8","2.2"
"Oct 2018","2.5","1.2","8.9","2.1"
"Nov 2018","2.2","1.4","3.1","2.2"
"Dec 2018","1.9","1.6","-0.3","2.2"
"Jan 2019","1.6","1.6","-4.8","2.2"
"Feb 2019","1.5","2.0","-5.0","2.1"
"Mar 2019","1.9","2.1","-0.4","2.0"
"Apr 2019","2.0","1.8","1.7","2.1"
"May 2019","1.8","2.0","-0.5","2.0"
"Jun 2019","1.6","1.9","-3.4","2.1"
"Jul 2019","1.8","1.8","-2.0","2.2"
"Aug 2019","1.7","1.7","-4.4","2.4"
"Sep 2019","1.7","1.8","-4.8","2.4"
"Oct 2019","1.8","2.1","-4.2","2.3"
"Nov 2019","2.1","2.0","-0.6","2.3"
"Dec 2019","2.3","1.8","3.4","2.3"
"Jan 2020","2.5","1.8","6.2","2.3"
"Feb 2020","2.3","1.8","2.8","2.4"
"Mar 2020","1.5","1.9","-5.7","2.1"
"Apr 2020","0.3","3.5","-17.7","1.4"
"May 2020","0.1","4.0","-18.9","1.2"
"Jun 2020","0.6","4.5","-12.6","1.2"
"Jul 2020","1.0","4.1","-11.2","1.6"
"Aug 2020","1.3","4.1","-9.0","1.7"
"Sep 2020","1.4","3.9","-7.7","1.7"
"Oct 2020","1.2","3.9","-9.2","1.6"
"Nov 2020","1.2","3.7","-9.4","1.6"
"Dec 2020","1.4","3.9","-7.0","1.6"
"Jan 2021","1.4","3.8","-3.6","1.4"
"Feb 2021","1.7","3.6","2.4","1.3"
"Mar 2021","2.6","3.5","13.2","1.6"
"Apr 2021","4.2","2.4","25.1","3.0"
"May 2021","5.0","2.2","28.5","3.8"
"Jun 2021","5.4","2.4","24.5","4.5"
"Jul 2021","5.4","3.4","23.8","4.3"
"Aug 2021","5.3","3.7","25.0","4.0"
"Sep 2021","5.4","4.6","24.8","4.0"
"Oct 2021","6.2","5.3","30.0","4.6"
"Nov 2021","6.8","6.1","33.3","4.9"
"Dec 2021","7.0","6.3","29.3","5.5"
"Jan 2022","7.5","7.0","27.0","6.0"
"Feb 2022","7.9","7.9","25.6","6.4"
"Mar 2022","8.5","8.8","32.0","6.5"
"Apr 2022","8.3","9.4","30.3","6.2"
"May 2022","8.6","10.1","34.6","6.0"
"Jun 2022","9.1","10.4","41.6","5.9"
"Jul 2022","8.5","10.9","32.9","5.9"
"Aug 2022","8.3","11.4","23.8","6.3"
"Sep 2022","8.2","11.2","19.8","6.6"
"Oct 2022","7.7","10.9","17.6","6.3"
"Nov 2022","7.1","10.6","13.1","6.0"
"Dec 2022","6.5","10.4","7.3","5.7"
"Jan 2023","6.4","10.1","8.7","5.6"
"Feb 2023","6.0","9.5","5.2","5.5"
"Mar 2023","5.0","8.5","-6.4","5.6"
"Apr 2023","4.9","7.7","-5.1","5.5"
"May 2023","4.0","6.7","-11.7","5.3"
"Jun 2023","3.0","5.7","-16.7","4.8"
"Jul 2023","3.2","4.9","-12.5","4.7"
"Aug 2023","3.7","4.3","-3.6","4.3"
"Sep 2023","3.7","3.7","-0.5","4.1"
"Oct 2023","3.2","3.3","-4.5","4.0"
"Nov 2023","3.1","2.9","-5.4","4.0"
"Dec 2023","3.4","2.7","-2.0","3.9"
"Jan 2024","3.1","2.6","-4.6","3.9"
"Feb 2024","3.2","2.2","-1.9","3.8"
"Mar 2024","3.5","2.2","2.1","3.8"
"Apr 2024","3.4","2.2","2.6","3.6"
"May 2024","3.3","2.1","3.7","3.4"
"Jun 2024","3.0","2.2","1.0","3.3"
"Jul 2024","2.9","2.2","1.1","3.2"
"Aug 2024","2.5","2.1","-4.0","3.2"
"Sep 2024","2.4","2.3","-6.8","3.3"
"Oct 2024","2.6","2.1","-4.9","3.3"
"Nov 2024","2.7","2.4","-3.2","3.3"
"Dec 2024","2.9","2.5","-0.5","3.2"
"Jan 2025","3.0","2.5","1.0","3.3"
""
