observation_date,DSPI,PMSAVE,ECI
2017-01-01,14373.7,762.6,
2017-02-01,14416.8,800.6,
2017-03-01,14476.3,803.7,
2017-04-01,14509.3,827.3,23
2017-05-01,14610.7,914.7,
2017-06-01,14618.7,874.2,
2017-07-01,14660.2,882.1,
2017-08-01,14678.3,902.4,
2017-09-01,14706,864.6,
2017-10-01,14748.6,887.7,
2017-11-01,14771.1,831.9,
2017-12-01,14797.9,748,13
2018-01-01,14886.6,854.7,18
2018-02-01,14921.1,885.2,28
2018-03-01,14974.8,900.8,25
2018-04-01,15007.2,919.9,16
2018-05-01,15057.8,927.3,22
2018-06-01,15119.3,972.6,30
2018-07-01,15184.7,1004.3,30
2018-08-01,15238.6,1027.5,30
2018-09-01,15237.5,1053.7,28
2018-10-01,15274.1,1053.7,33
2018-11-01,15315.2,1021.3,29
2018-12-01,15506.5,1338.9,31
2019-01-01,15536.3,1332.5,20
2019-02-01,15560.4,1353.7,16
2019-03-01,15566.5,1263.7,32
2019-04-01,15534.2,1225.4,26
2019-05-01,15532.4,1166.7,21
2019-06-01,15562.1,1142.3,26
2019-07-01,15581.4,1093.5,22
2019-08-01,15664.3,1122.6,29
2019-09-01,15697.5,1135.7,24
2019-10-01,15718.1,1154.2,17
2019-11-01,15766.9,1127.6,21
2019-12-01,15683.8,1020.1,29
2020-01-01,15857.3,1160.7,26
2020-02-01,15916.8,1253.8,40
2020-03-01,15704.9,2032.2,41
2020-04-01,18030.2,5981.6,22
2020-05-01,17114.4,4047.3,-32
2020-06-01,17047.5,3260.5,-28
2020-07-01,17195.8,3206.8,-21
2020-08-01,16524.8,2406.2,-15
2020-09-01,16616.5,2294.3,-16
2020-10-01,16552.9,2193.9,-10
2020-11-01,16350.6,2032.7,-4
2020-12-01,16391.2,2038,-1
2021-01-01,18146.5,3693,-16
2021-02-01,16633.9,2239,-21
2021-03-01,20445.8,5671.7,-13
2021-04-01,17335.4,2236,-7
2021-05-01,16836.3,1750.8,2
2021-06-01,16757.8,1523.5,-7
2021-07-01,16867.8,1688.1,1
2021-08-01,16832.4,1557.5,-6
2021-09-01,16641.8,1315.7,-12
2021-10-01,16648.1,1217,-21
2021-11-01,16598.3,1136.5,-25
2021-12-01,16525.4,1119.6,-29
2022-01-01,16143.2,663.3,-33
2022-02-01,16143,657.7,-26
2022-03-01,16065.5,491.2,-33
2022-04-01,16063.7,410.8,-39
2022-05-01,16049.1,421.5,-39
2022-06-01,16015.9,370.5,-45
2022-07-01,16219.1,593.2,-58
2022-08-01,16314.4,584.1,-51
2022-09-01,16372.3,600.9,-39
2022-10-01,16424.3,615,-35
2022-11-01,16436.5,669.1,-45
2022-12-01,16497.5,715.8,-39
2023-01-01,16808.5,841.4,-39
2023-02-01,16879.1,930.8,-36
2023-03-01,16968,1079.8,-38
2023-04-01,16983.3,1017.1,-44
2023-05-01,17041.9,1055.2,-43
2023-06-01,17050.3,1027,-32
2023-07-01,17061.6,949.6,-30
2023-08-01,17085.8,972.8,-30
2023-09-01,17101.1,906.3,-39
2023-10-01,17152.8,941,-41
2023-11-01,17229.4,965.8,-40
2023-12-01,17267.4,919.9,-32
2024-01-01,17426.2,1173.5,-26
2024-02-01,17442.4,1146.2,-22
2024-03-01,17486.9,1124.5,-20
2024-04-01,17464.9,1098.1,-29
2024-05-01,17511.1,1054.6,-34
2024-06-01,17515.6,1030.6,-33
2024-07-01,17528.9,961.5,-35
2024-08-01,17535.9,955.4,-27
2024-09-01,17569.8,892.8,-28
2024-10-01,17646.1,953,-26
2024-11-01,17668.9,893,-17
2024-12-01,17687.7,843.2,-14
