Date,Economic_Confidence_Index
Apr 1 2017,23
Dec 1 2017,13
Jan 1 2018,18
Feb 1 2018,28
Mar 1 2018,25
Apr 1 2018,16
May 1 2018,22
Jun 1 2018,30
Jul 1 2018,30
Aug 1 2018,30
Sep 1 2018,28
Oct 1 2018,33
Oct 15 2018,29
Nov 1 2018,31
Dec 1 2018,20
Jan 1 2019,16
Feb 1 2019,32
Mar 1 2019,26
Apr 1 2019,21
May 1 2019,26
Jun 1 2019,22
Jul 1 2019,29
Aug 1 2019,24
Sep 1 2019,17
Oct 1 2019,21
Nov 1 2019,29
Dec 1 2019,26
Jan 1 2020,40
Feb 1 2020,41
Mar 1 2020,22
Apr 1 2020,-32
May 1 2020,-28
Jun 1 2020,-21
Jul 1 2020,-15
Aug 1 2020,-16
Sep 1 2020,-10
Oct 1 2020,-4
Nov 5 2020,-1
Dec 1 2020,-16
Jan 4 2021,-21
Feb 3 2021,-13
Mar 1 2021,-7
Apr 1 2021,2
May 3 2021,-7
Jun 1 2021,1
Jul 6 2021,-6
Aug 2 2021,-12
Sep 1 2021,-21
Oct 1 2021,-25
Nov 1 2021,-29
Dec 1 2021,-33
Jan 3 2022,-26
Feb 1 2022,-33
Mar 1 2022,-39
Apr 1 2022,-39
May 2 2022,-45
Jun 1 2022,-58
Jul 1 2022,-51
Aug 1 2022,-39
Sep 1 2022,-35
Oct 1 2022,-45
Nov 9 2022,-39
Jan 2 2023,-39
Feb 1 2023,-36
Mar 1 2023,-38
Apr 1 2023,-44
May 1 2023,-43
Jun 1 2023,-32
Jul 3 2023,-30
Aug 1 2023,-30
Sep 1 2023,-39
Oct 1 2023,-41
Nov 1 2023,-40
Dec 1 2023,-32
Jan 2 2024,-26
Feb 1 2024,-22
Mar 1 2024,-20
Apr 1 2024,-29
May 1 2024,-34
June 1 2024,-33
July 1 2024,-35
Aug 1 2024,-27
Sep 1 2024,-28
Oct 1 2024,-26
Nov 1 2024,-17
Dec 1 2024,-14
