disposable_income
,,,,,,,,,,,,,,,,,,,,,,,,
,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Personal income,22855.1,22984.2,23104.4,23194.0,23299.8,23372.5,23427.8,23533.1,23636.2,23708.3,23812.0,23903.1,24226.7,24330.9,24474.9,24511.1,24584.2,24626.7,24700.4,24754.3,24842.5,25007.0,25078.5,25170.5
    Compensation of employees,13832.3,13883.8,13934.1,14003.7,14081.3,14168.9,14236.7,14311.5,14386.2,14415.2,14482.1,14546.5,14686.6,14836.5,14948.1,14914.1,14955.1,14967.6,15022.6,15099.1,15154.7,15232.7,15310.6,15375.0
        Wages and salaries,11442.3,11480.9,11518.8,11574.8,11638.1,11710.0,11763.6,11823.9,11884.4,11902.4,11956.0,12007.6,12129.0,12263.3,12360.5,12321.5,12352.2,12355.3,12398.8,12462.8,12507.8,12573.6,12639.9,12694.3
            Private industries,9762.5,9792.7,9823.4,9872.8,9927.5,9987.7,10025.8,10072.1,10121.0,10130.3,10176.5,10217.3,10325.4,10447.5,10531.2,10485.8,10509.4,10504.0,10539.8,10596.2,10633.7,10688.1,10743.9,10787.7
            Government,1679.8,1688.2,1695.4,1702.0,1710.7,1722.3,1737.8,1751.8,1763.3,1772.2,1779.5,1790.3,1803.6,1815.8,1829.3,1835.7,1842.9,1851.3,1859.0,1866.6,1874.1,1885.6,1896.1,1906.6
        Supplements to wages and salaries,2390.0,2402.9,2415.3,2428.9,2443.2,2458.9,2473.1,2487.6,2501.8,2512.8,2526.1,2538.8,2557.6,2573.2,2587.6,2592.6,2602.9,2612.3,2623.8,2636.3,2646.9,2659.1,2670.7,2680.7
Employer contributions for employee pension and insurance funds1,1593.6,1602.2,1610.5,1618.9,1627.9,1638.0,1647.9,1657.9,1667.8,1677.6,1687.4,1697.2,1712.3,1722.8,1733.0,1741.4,1749.9,1759.5,1768.4,1776.8,1784.6,1792.5,1799.7,1806.2
            Employer contributions for government social insurance,796.4,800.7,804.8,809.9,815.3,821.0,825.2,829.7,834.0,835.1,838.7,841.7,845.2,850.4,854.6,851.3,853.0,852.7,855.4,859.5,862.3,866.6,871.0,874.5
