The Gallup Economic Confidence Index summarizes Americans' assessments of current economic conditions (% excellent or good minus % poor) and economic outlook (% getting better minus % getting worse). It has a theoretical range of -100 to +100.,Economic Confidence Index
Jan 1 1996,1
Jul 1 1996,13
Aug 1 1996,18
Oct 1 1996,23
Jan 1 1997,17
May 1 1997,21
Nov 1 1997,32
Dec 1 1997,23
Jan 1 1998,54
Sep 1 1998,30
Oct 1 1998,37
Dec 1 1998,36
Jan 1 1999,50
Jun 1 1999,51
Aug 1 1999,40
Sep 1 1999,45
Oct 1 1999,38
Jan 1 2000,56
May 1 2000,36
Jul 1 2000,50
Aug 1 2000,52
Oct 1 2000,44
Nov 1 2000,39
Dec 1 2000,23
Jan 1 2001,19
Feb 1 2001,-8
Mar 1 2001,2
Apr 1 2001,-4
May 1 2001,-7
Jun 1 2001,-1
Jul 1 2001,6
Aug 1 2001,-5
Sep 1 2001,-19
Sep 14 2001,3
Oct 1 2001,2
Nov 1 2001,-9
Dec 1 2001,6
Jan 1 2002,11
Feb 1 2002,3
Mar 1 2002,19
Apr 1 2002,22
Apr 22 2002,22
May 1 2002,17
May 20 2002,22
Jun 1 2002,16
Jun 17 2002,13
Jul 1 2002,-9
Jul 22 2002,-15
Jul 29 2002,1
Aug 1 2002,-7
Aug 19 2002,-7
Sep 1 2002,-9
Sep 23 2002,-9
Oct 1 2002,-15
Oct 31 2002,-6
Nov 1 2002,-3
Dec 1 2002,-9
Dec 19 2002,-10
Jan 1 2003,-13
Jan 20 2003,-20
Feb 1 2003,-18
Feb 17 2003,-27
Mar 1 2003,-27
Mar 24 2003,3
Mar 1 2003,-10
Apr 1 2003,-5
May 1 2003,-8
May 19 2003,-9
Jun 1 2003,2
Jul 1 2003,-3
Aug 4 2003,1
Sep 1 2003,-10
Oct 1 2003,-3
Oct 24 2003,0
Nov 1 2003,13
Dec 1 2003,23
Jan 1 2004,33
Jan 12 2004,15
Feb 1 2004,13
Mar 1 2004,3
Apr 5 2004,7
May 1 2004,-3
Jun 1 2004,8
Jul 1 2004,15
Jul 30 2004,10
Aug 1 2004,9
Sep 1 2004,10
Oct 1 2004,3
Oct 11 2004,1
Nov 1 2004,11
Dec 1 2004,12
Jan 1 2005,15
Feb 1 2005,14
Feb 21 2005,7
Mar 1 2005,5
Mar 21 2005,-9
Apr 1 2005,-4
Apr 18 2005,-12
May 1 2005,-12
May 23 2005,5
Jun 1 2005,-3
Jun 16 2005,-4
Jul 1 2005,-1
Jul 25 2005,-5
